"ORF","Feature","AvgLife","Slope","AntiProb","GroupRank"
"YBR039W","ATP3",35,-0.0189686601555471,1,1
"YLR354C","TAL1",24.8505747126437,-0.0154119564399673,1,1
"YGR155W","CYS4",24.6666666666667,-0.0763142699636221,1,1
"YCR088W","ABP1",28.1882352941176,-0.112401906005456,0.5,1
"YBR263W","SHM1",28.5333333333333,-0.0119355292888468,0.5,2
"YNL098C","RAS2",24.8735632183908,-0.0121539324824007,0.5,2
"YNL277W","MET2",26.2,-0.0122394187581725,0.5,2
"YLL015W","BPT1",30.9883720930233,-0.00680337611110764,1,3
"YIL094C","LYS12",26.593023255814,-0.00503448573769376,1,3
"YDL066W","IDP1",14.9550561797753,-0.00758111129027774,1,3
"YBL087C","RPL23A",35.1279069767442,-0.00381212530606908,1,4
"YPR167C","MET16",29.8850574712644,-0.00430497831727349,1,4
"YOR288C","MPD1",33.0888888888889,-0.00496370305659377,1,4
"YML022W","APT1",29.6,-0.00260459464963953,1,5
"YKR080W","MTD1",20.2,-0.00368576977972336,1,5
"YCR028C-A","RIM1",23.5116279069767,-0.00328883718615318,1,5
"YGR270W","YTA7",22.55,-0.00146457577745714,1,6
"YBL027W","RPL19B",20.6091954022989,-0.00195688216981441,1,6
"YML035C","AMD1",28.0666666666667,-0.00142436845359173,1,6
"YNR051C","BRE5",27.0697674418605,-0.000449045211885358,0.5,7
"YJR009C","TDH2",26.6941176470588,-0.000340744544861654,1,7
"YPL112C","PEX25",22.6,-9.44224999953836e-05,1,7
"YNR030W","ALG12",18.2613636363636,-0.000286292439944561,1,7
"YDR500C","RPL37B",29.2790697674419,-6.41089109533985e-05,1,8
"YGL056C","SDS23",27.8,-2.9191266974273e-05,1,8
"YOR085W","OST3",25.8769230769231,1.77091377138278e-05,1,8
"YIL052C","RPL34B",36.2093023255814,0.000109917169098467,1,9
"YDL075W","RPL31A",34.2758620689655,0.000379226674203952,0.8,9
"YER056C","FCY2",23.8488372093023,0.000457379315838409,1,9
"YNL330C","RPD3",21.6630434782609,0.00115047752667422,1,10
"YHL011C","PRS3",28.2,0.000973155125828451,1,10
"YMR313C","TGL3",27.0444444444444,0.00102131201326234,1,10
"YER017C","AFG3",12.5824175824176,0.00127619793769229,1,11
"YJR077C","MIR1",25.9770114942529,0.00180632279010966,1,11
"YNL229C","URE2",22.9885057471264,0.0018914939496515,1,11
"YMR029C","FAR8",26.2,0.00217070464447959,1,12
"YLR384C","IKI3",27.5,0.00230185559272981,1,12
"YDR399W","HPT1",33.6,0.00239982034502532,1,12
"YGL135W","RPL1B",31.1294117647059,0.00264842770214848,1,13
"YOR061W","CKA2",36.5411764705882,0.00401449226140702,1,13
"YPL129W","TAF14",22.0674157303371,0.00350237788430045,0.5,13
"YGL115W","SNF4",22.3863636363636,0.0044977125253863,1,14
"YNL220W","ADE12",31.4,0.00549095062986677,1,14
"YDR233C","RTN1",29.0232558139535,0.00552246593106199,0.5,14
"YDR477W","SNF1",32.632183908046,0.00439031927785869,0.75,14
"YOR136W","IDH2",15.1,0.00929558370117539,1,15
"YLR180W","SAM1",22.8390804597701,0.00642130340054075,1,15
"YPL090C","RPS6A",27.8620689655172,0.00593579733958281,1,15
"YJR066W","TOR1",14.1578947368421,0.0106441732051526,1,16
"YLR058C","SHM2",28.28,0.0107869503698608,0.5,16
"YGL167C","PMR1",26.906976744186,0.0117874656815879,1,16
"YOR270C","VPH1",29.5813953488372,0.0139436134476153,0.5,17
"YFR024C-A","LSB3",30.3488372093023,0.0126354528027978,1,17
"YBR035C","PDX3",16.6,0.0138450253821932,1,17
"YOL086C","ADH1",8.05405405405405,0.0163499957701818,1,18
"YIL076W","SEC28",30.3953488372093,0.0161128481544973,1,18
"YDR457W","TOM1",16.4090909090909,0.0237046122520849,1,18
"YKR059W","TIF1",14.5795454545455,0.0248037837643444,0.67,19
"YGR061C","ADE6",26.2,0.0404946226707729,1,19
"YOR128C","ADE2",32.8,0.0278944881189562,1,19
"YGR204W","ADE3",25.4,0.0597242956917126,0.5,20
"YML072C","TCB3",28.7093023255814,0.104846686469272,1,20
"YBL099W","ATP1",7.41964285714286,0.0649429090814153,0.5,20
